,Ticket Created Date,Total Tickets Opened,Subscription Order Count,Non Subscription Order Count,Fall,Spring,Winter,Holiday,Not Holiday,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,2016-04-21,533,984,507,0,1,0,0,1,0,0,0,0,1,0,0
1,2016-04-20,658,6035,485,0,1,0,0,1,0,0,0,0,0,0,1
2,2016-04-19,778,2450,500,0,1,0,0,1,0,0,0,0,0,1,0
3,2016-04-18,743,2502,527,0,1,0,0,1,0,1,0,0,0,0,0
4,2016-04-17,925,3080,488,0,1,0,0,1,0,0,0,1,0,0,0
5,2016-04-16,793,3347,529,0,1,0,0,1,0,0,1,0,0,0,0
6,2016-04-15,468,806,503,0,1,0,0,1,1,0,0,0,0,0,0
7,2016-04-14,623,892,443,0,1,0,0,1,0,0,0,0,1,0,0
8,2016-04-13,611,5280,478,0,1,0,0,1,0,0,0,0,0,0,1
9,2016-04-12,774,2348,453,0,1,0,0,1,0,0,0,0,0,1,0
10,2016-04-11,778,2805,483,0,1,0,0,1,0,1,0,0,0,0,0
11,2016-04-10,849,3048,455,0,1,0,0,1,0,0,0,1,0,0,0
12,2016-04-09,817,2954,494,0,1,0,0,1,0,0,1,0,0,0,0
13,2016-04-08,462,825,417,0,1,0,0,1,1,0,0,0,0,0,0
14,2016-04-07,570,787,337,0,1,0,0,1,0,0,0,0,1,0,0
15,2016-04-06,681,5473,476,0,1,0,0,1,0,0,0,0,0,0,1
16,2016-04-05,590,2738,423,0,1,0,0,1,0,0,0,0,0,1,0
17,2016-04-04,684,2490,507,0,1,0,0,1,0,1,0,0,0,0,0
18,2016-04-03,1112,2820,580,0,1,0,0,1,0,0,0,1,0,0,0
19,2016-04-02,827,2815,548,0,1,0,0,1,0,0,1,0,0,0,0
20,2016-04-01,435,955,485,0,1,0,0,1,1,0,0,0,0,0,0
21,2016-03-31,432,848,406,0,1,0,0,1,0,0,0,0,1,0,0
22,2016-03-30,717,5204,532,0,1,0,0,1,0,0,0,0,0,0,1
23,2016-03-29,936,2401,497,0,1,0,0,1,0,0,0,0,0,1,0
24,2016-03-28,966,2774,564,0,1,0,0,1,0,1,0,0,0,0,0
26,2016-03-26,694,3319,639,0,1,0,0,1,0,0,1,0,0,0,0
27,2016-03-25,360,894,594,0,1,0,0,1,1,0,0,0,0,0,0
28,2016-03-24,354,726,425,0,1,0,0,1,0,0,0,0,1,0,0
29,2016-03-23,646,5416,545,0,1,0,0,1,0,0,0,0,0,0,1
30,2016-03-22,600,3003,515,0,1,0,0,1,0,0,0,0,0,1,0
31,2016-03-21,685,2542,513,0,1,0,0,1,0,1,0,0,0,0,0
32,2016-03-20,795,2882,521,0,1,0,0,1,0,0,0,1,0,0,0
33,2016-03-19,408,3024,476,0,1,0,0,1,0,0,1,0,0,0,0
34,2016-03-18,381,917,478,0,1,0,0,1,1,0,0,0,0,0,0
35,2016-03-17,366,755,396,0,1,0,0,1,0,0,0,0,1,0,0
36,2016-03-16,578,5151,497,0,1,0,0,1,0,0,0,0,0,0,1
37,2016-03-15,518,2794,478,0,1,0,0,1,0,0,0,0,0,1,0
38,2016-03-14,588,2426,517,0,1,0,0,1,0,1,0,0,0,0,0
39,2016-03-13,731,2873,610,0,1,0,0,1,0,0,0,1,0,0,0
40,2016-03-12,790,2680,585,0,1,0,0,1,0,0,1,0,0,0,0
41,2016-03-11,435,700,582,0,1,0,0,1,1,0,0,0,0,0,0
42,2016-03-10,419,562,490,0,1,0,0,1,0,0,0,0,1,0,0
43,2016-03-09,618,5157,570,0,1,0,0,1,0,0,0,0,0,0,1
44,2016-03-08,728,2312,555,0,1,0,0,1,0,0,0,0,0,1,0
45,2016-03-07,686,2359,573,0,1,0,0,1,0,1,0,0,0,0,0
46,2016-03-06,898,2741,706,0,1,0,0,1,0,0,0,1,0,0,0
47,2016-03-05,825,2656,584,0,1,0,0,1,0,0,1,0,0,0,0
48,2016-03-04,459,653,536,0,1,0,0,1,1,0,0,0,0,0,0
49,2016-03-03,455,552,483,0,1,0,0,1,0,0,0,0,1,0,0
50,2016-03-02,632,4522,552,0,1,0,0,1,0,0,0,0,0,0,1
51,2016-03-01,712,1997,596,0,1,0,0,1,0,0,0,0,0,1,0
52,2016-02-29,753,2907,595,0,0,1,0,1,0,1,0,0,0,0,0
53,2016-02-28,871,2658,760,0,0,1,0,1,0,0,0,1,0,0,0
54,2016-02-27,857,2696,640,0,0,1,0,1,0,0,1,0,0,0,0
55,2016-02-26,463,719,757,0,0,1,0,1,1,0,0,0,0,0,0
56,2016-02-25,529,629,490,0,0,1,0,1,0,0,0,0,1,0,0
57,2016-02-24,703,5341,662,0,0,1,0,1,0,0,0,0,0,0,1
58,2016-02-23,700,2051,636,0,0,1,0,1,0,0,0,0,0,1,0
59,2016-02-22,745,2281,616,0,0,1,0,1,0,1,0,0,0,0,0
60,2016-02-21,968,3181,702,0,0,1,0,1,0,0,0,1,0,0,0
61,2016-02-20,806,3190,631,0,0,1,0,1,0,0,1,0,0,0,0
62,2016-02-19,459,644,645,0,0,1,0,1,1,0,0,0,0,0,0
63,2016-02-18,471,649,526,0,0,1,0,1,0,0,0,0,1,0,0
64,2016-02-17,700,5028,619,0,0,1,0,1,0,0,0,0,0,0,1
65,2016-02-16,738,2558,611,0,0,1,0,1,0,0,0,0,0,1,0
66,2016-02-15,832,2795,635,0,0,1,1,0,0,1,0,0,0,0,0
67,2016-02-14,932,2775,762,0,0,1,0,1,0,0,0,1,0,0,0
68,2016-02-13,837,2708,663,0,0,1,0,1,0,0,1,0,0,0,0
69,2016-02-12,567,721,605,0,0,1,0,1,1,0,0,0,0,0,0
70,2016-02-11,493,629,515,0,0,1,0,1,0,0,0,0,1,0,0
71,2016-02-10,715,4736,772,0,0,1,0,1,0,0,0,0,0,0,1
72,2016-02-09,711,2765,688,0,0,1,0,1,0,0,0,0,0,1,0
73,2016-02-08,838,2501,717,0,0,1,0,1,0,1,0,0,0,0,0
74,2016-02-07,987,2828,791,0,0,1,0,1,0,0,0,1,0,0,0
75,2016-02-06,882,2461,730,0,0,1,0,1,0,0,1,0,0,0,0
76,2016-02-05,549,937,820,0,0,1,0,1,1,0,0,0,0,0,0
77,2016-02-04,478,583,621,0,0,1,0,1,0,0,0,0,1,0,0
78,2016-02-03,689,4533,414,0,0,1,0,1,0,0,0,0,0,0,1
79,2016-02-02,665,2253,565,0,0,1,0,1,0,0,0,0,0,1,0
80,2016-02-01,720,2571,605,0,0,1,0,1,0,1,0,0,0,0,0
81,2016-01-31,920,2568,635,0,0,1,0,1,0,0,0,1,0,0,0
82,2016-01-30,900,2414,564,0,0,1,0,1,0,0,1,0,0,0,0
83,2016-01-29,479,777,580,0,0,1,0,1,1,0,0,0,0,0,0
84,2016-01-28,578,656,608,0,0,1,0,1,0,0,0,0,1,0,0
85,2016-01-27,679,5186,666,0,0,1,0,1,0,0,0,0,0,0,1
